'sample interval',PCG
'0.003003 sec','mV'
0,-3000
1,800
2,200
3,-2000
4,-3400
5,-5000
6,-6400
7,-5800
8,-3600
9,800
10,5200
11,7200
12,5600
13,3800
14,2000
15,200
16,-1600
17,-1800
18,-1000
19,-200
20,0
21,0
22,200
23,400
24,400
25,200
26,-200
27,200
28,400
29,400
30,0
31,-400
32,-400
33,-600
34,-800
35,-800
36,-800
37,-1000
38,-1000
39,-1000
40,-1000
41,-1200
42,-600
43,-400
44,0
45,-200
46,-400
47,-400
48,-200
49,400
50,400
51,-200
52,-400
53,-600
54,-400
55,200
56,600
57,400
58,0
59,-600
60,-800
61,-800
62,-1000
63,-600
64,-200
65,200
66,600
67,400
68,-200
69,-600
70,-600
71,-400
72,-400
73,-200
74,0
75,400
76,400
77,400
78,400
79,400
80,200
81,-400
82,-800
83,-400
84,200
85,-2600
86,-5600
87,-1800
88,5400
89,6200
90,1400
91,-1600
92,-800
93,-1200
94,-5000
95,-6800
96,-1200
97,9400
98,13400
99,5200
100,-5600
101,-11200
102,-11000
103,-8200
104,-3800
105,1200
106,4800
107,6000
108,4600
109,1200
110,-1400
111,3600
112,10400
113,0
114,-13600
115,-8000
116,3400
117,3800
118,-1000
119,-2000
120,1000
121,5000
122,6400
123,4200
124,200
125,-3600
126,-6200
127,-7200
128,-5600
129,-4000
130,-1400
131,0
132,200
133,400
134,1800
135,2600
136,2200
137,400
138,-800
139,-200
140,1400
141,2200
142,1600
143,800
144,600
145,600
146,-1000
147,-4000
148,-3400
149,1800
150,3200
151,1400
152,200
153,-1600
154,-3800
155,-5400
156,-5800
157,-4200
158,-1000
159,2200
160,3800
161,3800
162,2600
163,800
164,-600
165,-1400
166,-400
167,1200
168,800
169,-400
170,-400
171,-600
172,-800
173,-200
174,800
175,1400
176,1200
177,400
178,-400
179,-600
180,-800
181,-1200
182,-1400
183,-1200
184,-1400
185,-2000
186,-2400
187,-1600
188,-400
189,200
190,-400
191,-1400
192,-1400
193,200
194,800
195,800
196,1200
197,1400
198,800
199,-200
200,-400
201,-600
202,-600
203,1000
204,1800
205,600
206,-600
207,-600
208,-400
209,-1400
210,-2000
211,-1200
212,0
213,1200
214,2200
215,2600
216,2400
217,1800
218,600
219,-600
220,-1400
221,-1600
222,-1800
223,-2400
224,-3200
225,-3200
226,-2800
227,-2600
228,-2200
229,-1800
230,-800
231,1600
232,1200
233,-2400
234,-800
235,6600
236,10200
237,6400
238,1600
239,600
240,-1000
241,-5800
242,-9600
243,-6600
244,800
245,6800
246,6200
247,1400
248,-4200
249,-7000
250,-6200
251,-2600
252,1400
253,4600
254,6200
255,5400
256,2600
257,-400
258,-2400
259,-2400
260,-1800
261,-1000
262,-400
263,600
264,1800
265,1800
266,600
267,-400
268,-1400
269,-1600
270,-1800
271,-2200
272,-2400
273,-2000
274,-1200
275,-800
276,-400
277,200
278,400
279,0
280,-400
281,-200
282,400
283,600
284,600
285,600
286,800
287,1200
288,2000
289,1600
290,600
291,-400
292,-1000
293,-800
294,-1800
295,-2200
296,1400
297,2800
298,1600
299,600
300,-1000
301,-2600
302,-3200
303,-4200
304,-4200
305,-600
306,3000
307,3400
308,2000
309,1000
310,-200
311,-1400
312,-2200
313,-2200
314,-1000
315,0
316,800
317,1000
318,600
319,600
320,1000
321,1600
322,1600
323,1400
324,1400
325,800
326,-400
327,-1400
328,-2000
329,-2400
330,-2600
331,-2400
332,-2000
333,-1800
334,-600
335,-200
336,800
337,800
338,1200
339,600
340,400
341,0
342,0
343,200
344,0
345,200
346,0
347,0
348,-200
349,-200
350,-600
351,-400
352,-200
353,-200
354,-200
355,-200
356,0
357,200
358,-200
359,-200
360,-400
361,-600
362,-200
363,400
364,800
365,1000
366,800
367,400
368,-600
369,-1200
370,-1600
371,-1000
372,-600
373,-400
374,0
375,-600
376,-400
377,-400
378,-400
379,-600
380,-600
381,600
382,1400
383,-1800
384,-6000
385,-3000
386,5000
387,7000
388,2800
389,-600
390,0
391,-800
392,-4800
393,-6200
394,-1200
395,6200
396,9600
397,5800
398,-1400
399,-6800
400,-8200
401,-6200
402,-2200
403,1800
404,4400
405,4600
406,2800
407,200
408,-1800
409,-3200
410,-3000
411,-1800
412,-600
413,600
414,1800
415,2400
416,2000
417,1000
418,600
419,-600
420,-1000
421,-600
422,-1000
423,-1000
424,-1000
425,-800
426,-200
427,600
428,-400
429,-1600
430,-2200
431,-2800
432,-2800
433,-2600
434,-1800
435,400
436,3400
437,5000
438,5400
439,5800
440,5800
441,4800
442,2800
443,200
444,-2800
445,-6400
446,-8000
447,-3800
448,-800
449,-1400
450,-2000
451,-3200
452,-4200
453,-4600
454,-4800
455,-4000
456,200
457,5400
458,7400
459,6200
460,3800
461,2000
462,200
463,-1200
464,-1600
465,-400
466,600
467,400
468,-200
469,-1400
470,-1200
471,-1000
472,-400
473,-400
474,0
475,600
476,600
477,800
478,600
479,400
480,400
481,200
482,200
483,0
484,-400
485,-800
486,-1400
487,-2000
488,-2000
489,-1600
490,-1000
491,-800
492,-400
493,-200
494,400
495,400
496,200
497,-400
498,-600
499,-200
500,-200
501,-400
502,-400
503,-200
504,0
505,200
506,600
507,-200
508,0
509,0
510,0
511,-200
512,200
513,600
514,600
515,400
516,0
517,-400
518,-800
519,-1000
520,-1200
521,-600
522,800
523,2000
524,1600
525,0
526,-1200
527,-1200
528,-800
529,-800
530,200
531,1000
532,-2000
533,-7000
534,-5200
535,2800
536,6800
537,3400
538,-400
539,0
540,200
541,-2800
542,-4600
543,-1000
544,5200
545,8800
546,6800
547,800
548,-5600
549,-9000
550,-8800
551,-5600
552,-1000
553,2200
554,3000
555,2600
556,1400
557,-200
558,-1600
559,-1600
560,-600
561,600
562,1800
563,2800
564,3600
565,3000
566,2400
567,1600
568,400
569,-1000
570,-1800
571,-2400
572,-2400
573,-2200
574,-2400
575,-2200
576,-1800
577,-1800
578,-1800
579,-2200
580,-2200
581,-600
582,600
583,1200
584,1000
585,1000
586,3600
587,5800
588,4200
589,1800
590,600
591,200
592,-400
593,-800
594,-2000
595,-3200
596,-800
597,1000
598,-400
599,-1400
600,-1400
601,-2400
602,-4600
603,-6600
604,-5400
605,0
606,5200
607,4600
608,1400
609,400
610,400
611,-400
612,-1200
613,-600
614,1800
615,3400
616,3600
617,2400
618,1600
619,800
620,400
621,-400
622,-1200
623,-1200
624,-1800
625,-2000
626,-1400
627,-1200
628,-1400
629,-800
630,-600
631,-800
632,-1000
633,-1000
634,-1000
635,-600
636,-200
637,200
638,-200
639,-800
640,-600
641,-200
642,-200
643,-400
644,400
645,800
646,1200
647,1000
648,600
649,800
650,1200
651,1000
652,400
653,-200
654,-1000
655,-1000
656,-1200
657,-2200
658,-2400
659,-2400
660,-2200
661,-800
662,1000
663,2800
664,4200
665,5200
666,4600
667,3000
668,1600
669,-400
670,-2400
671,-3200
672,-3400
673,-3200
674,-3000
675,-3000
676,-2400
677,-1800
678,-1800
679,-1800
680,-1400
681,200
682,2200
683,200
684,-3800
685,-1600
686,5400
687,7600
688,4600
689,800
690,-200
691,-1800
692,-6000
693,-7800
694,-3200
695,3400
696,7000
697,4800
698,-600
699,-5200
700,-6400
701,-4400
702,-1000
703,3200
704,5400
705,5000
706,3400
707,1200
708,-600
709,-1800
710,-2000
711,-1400
712,-400
713,800
714,1800
715,2200
716,1400
717,600
718,-400
719,-1800
720,-2200
721,-2600
722,-2600
723,-2200
724,-2200
725,-2200
726,-1200
727,-800
728,-800
729,-800
730,-400
731,800
732,1400
733,1000
734,400
735,800
736,1200
737,1200
738,1000
739,1200
740,1800
741,2000
742,1600
743,400
744,-1200
745,-2800
746,-3800
747,-200
748,3000
749,1800
750,800
751,-400
752,-2800
753,-4400
754,-4600
755,-3200
756,-600
757,2200
758,3000
759,2000
760,800
761,-600
762,-1800
763,-1600
764,-600
765,0
766,-200
767,400
768,2000
769,2200
770,1200
771,1000
772,2000
773,2400
774,800
775,-1200
776,-2400
777,-3400
778,-3200
779,-2400
780,-1600
781,-1800
782,-1800
783,-600
784,1000
785,1600
786,1400
787,600
788,200
789,600
790,1400
791,1600
792,400
793,-800
794,-400
795,1200
796,1000
797,-600
798,-800
799,0
800,-600
801,-2200
802,-3400
803,-2800
804,-800
805,600
806,600
807,400
808,400
809,400
810,400
811,400
812,0
813,200
814,600
815,1600
816,1200
817,400
818,-200
819,-400
820,-600
821,-1000
822,-1600
823,-1400
824,-400
825,-600
826,-600
827,-400
828,-200
829,-400
830,-2200
831,-1600
832,3600
833,7000
834,1600
835,-7200
836,-5600
837,3800
838,6400
839,1400
840,-2000
841,-600
842,-200
843,-4400
844,-7600
845,-4600
846,2400
847,7400
848,7000
849,2400
850,-2600
851,-4800
852,-4000
853,-1200
854,2200
855,3400
856,600
857,-1800
858,-200
859,1200
860,-1400
861,-6200
862,-5000
863,2600
864,7400
865,6400
866,4200
867,2200
868,-1200
869,-5800
870,-8800
871,-8200
872,-3800
873,2000
874,4600
875,3200
876,1400
877,2000
878,2600
879,1600
880,-1200
881,-2600
882,-1800
883,-1800
884,-4200
885,-5400
886,-400
887,-1200
888,-6800
889,2600
890,9400
891,22800
892,25400
893,2000
894,-11600
895,-19000
896,-25600
897,-18000
898,7600
899,18000
900,22400
901,25400
902,21800
903,6400
904,-4000
905,-7400
906,-8800
907,-4400
908,4200
909,9200
910,8400
911,8000
912,7600
913,1000
914,-3600
915,-6400
916,-8600
917,-7600
918,-5000
919,-2000
920,3000
921,9400
922,10600
923,9400
924,8200
925,5400
926,3200
927,4000
928,5800
929,5000
930,2000
931,-800
932,-2400
933,-3800
934,-5400
935,-7000
936,-6400
937,-4200
938,-2400
939,-1400
940,-400
941,1800
942,5000
943,5400
944,1400
945,-3600
946,-3200
947,3200
948,9200
949,4800
950,-3400
951,-3400
952,400
953,1000
954,-200
955,2200
956,4200
957,600
958,-4000
959,-5200
960,-3000
961,-800
962,800
963,400
964,-1200
965,-1800
966,-1000
967,1000
968,2000
969,1200
970,1000
971,1600
972,1800
973,1000
974,-400
975,-1200
976,-1600
977,-2000
978,-2400
979,-2000
980,-1400
981,-800
982,600
983,2000
984,1000
985,-3000
986,-1000
987,5000
988,6400
989,3000
990,600
991,800
992,0
993,-3400
994,-4800
995,-2200
996,2000
997,3200
998,800
999,-3200
1000,-6000
1001,-6000
1002,-3000
1003,600
1004,3600
1005,3600
1006,1800
1007,-1200
1008,-3000
1009,-2600
1010,-1400
1011,200
1012,1400
1013,2000
1014,2400
1015,3000
1016,3000
1017,2400
1018,800
1019,-200
1020,-800
1021,-1400
1022,-2000
1023,-2000
1024,-1200
1025,-1400
1026,-1600
1027,-1000
1028,0
1029,-200
1030,-600
1031,-800
1032,-800
1033,200
1034,800
1035,400
1036,400
1037,800
1038,1600
1039,2000
1040,1800
1041,1200
1042,400
1043,0
1044,-600
1045,-1600
1046,-3200
1047,-5200
1048,-3400
1049,1000
1050,1400
1051,-200
1052,-3200
1053,-6200
1054,-5000
1055,600
1056,4400
1057,4200
1058,3600
1059,3400
1060,2400
1061,1000
1062,-400
1063,-800
1064,-800
1065,-800
1066,-600
1067,-200
1068,0
1069,0
1070,-200
1071,-600
1072,-1200
1073,-1400
1074,-1400
1075,-1000
1076,-800
1077,-800
1078,-1000
1079,-1400
1080,-1600
1081,-1200
1082,-800
1083,-400
1084,0
1085,400
1086,1200
1087,1200
1088,1600
1089,1600
1090,1600
1091,1400
1092,1000
1093,200
1094,-600
1095,-800
1096,-1000
1097,-800
1098,-1200
1099,-1600
1100,-1400
1101,-1600
1102,-1200
1103,-1200
1104,-1000
1105,-600
1106,0
1107,-200
1108,-600
1109,-600
1110,0
1111,800
1112,1200
1113,1000
1114,1200
1115,1600
1116,2000
1117,1400
1118,0
1119,-1000
1120,-1600
1121,-2000
1122,-2400
1123,-2400
1124,-1800
1125,-2000
1126,-3400
1127,-2800
1128,1000
1129,3600
1130,4000
1131,3000
1132,2200
1133,-1400
1134,-4800
1135,-2000
1136,4600
1137,4800
1138,-200
1139,-3200
1140,-2200
1141,-2400
1142,-5200
1143,-5200
1144,-200
1145,5800
1146,7800
1147,5000
1148,-1200
1149,-6000
1150,-7000
1151,-5800
1152,-5000
1153,4200
1154,18800
1155,15800
1156,-3600
1157,-11400
1158,-9200
1159,-7600
1160,-6200
1161,-3600
1162,2000
1163,5000
1164,3800
1165,3200
1166,4600
1167,5000
1168,2800
1169,-600
1170,-1000
1171,200
1172,-1000
1173,-2600
1174,-2200
1175,-2600
1176,-4000
1177,-2600
1178,200
1179,-1800
1180,-4400
1181,-2400
1182,800
1183,200
1184,-1400
1185,-600
1186,2000
1187,3600
1188,2800
1189,-400
1190,-400
1191,3600
1192,4200
1193,-800
1194,-3200
1195,-2800
1196,-3000
1197,-800
1198,2600
1199,2200
1200,600
1201,0
1202,-1800
1203,-4200
1204,-5200
1205,-3600
1206,-200
1207,2800
1208,2200
1209,-800
1210,4000
1211,14000
1212,7400
1213,-11800
1214,-19800
1215,-6600
1216,6200
