'Elapsed time',PCG
'hh:mm:ss.mmm','mV'
'0:00.000',-3000
'0:00.003',800
'0:00.006',200
'0:00.009',-2000
'0:00.012',-3400
'0:00.015',-5000
'0:00.018',-6400
'0:00.021',-5800
'0:00.024',-3600
'0:00.027',800
'0:00.030',5200
'0:00.033',7200
'0:00.036',5600
'0:00.039',3800
'0:00.042',2000
'0:00.045',200
'0:00.048',-1600
'0:00.051',-1800
'0:00.054',-1000
'0:00.057',-200
'0:00.060',0
'0:00.063',0
'0:00.066',200
'0:00.069',400
'0:00.072',400
'0:00.075',200
'0:00.078',-200
'0:00.081',200
'0:00.084',400
'0:00.087',400
'0:00.090',0
'0:00.093',-400
'0:00.096',-400
'0:00.099',-600
'0:00.102',-800
'0:00.105',-800
'0:00.108',-800
'0:00.111',-1000
'0:00.114',-1000
'0:00.117',-1000
'0:00.120',-1000
'0:00.123',-1200
'0:00.126',-600
'0:00.129',-400
'0:00.132',0
'0:00.135',-200
'0:00.138',-400
'0:00.141',-400
'0:00.144',-200
'0:00.147',400
'0:00.150',400
'0:00.153',-200
'0:00.156',-400
'0:00.159',-600
'0:00.162',-400
'0:00.165',200
'0:00.168',600
'0:00.171',400
'0:00.174',0
'0:00.177',-600
'0:00.180',-800
'0:00.183',-800
'0:00.186',-1000
'0:00.189',-600
'0:00.192',-200
'0:00.195',200
'0:00.198',600
'0:00.201',400
'0:00.204',-200
'0:00.207',-600
'0:00.210',-600
'0:00.213',-400
'0:00.216',-400
'0:00.219',-200
'0:00.222',0
'0:00.225',400
'0:00.228',400
'0:00.231',400
'0:00.234',400
'0:00.237',400
'0:00.240',200
'0:00.243',-400
'0:00.246',-800
'0:00.249',-400
'0:00.252',200
'0:00.255',-2600
'0:00.258',-5600
'0:00.261',-1800
'0:00.264',5400
'0:00.267',6200
'0:00.270',1400
'0:00.273',-1600
'0:00.276',-800
'0:00.279',-1200
'0:00.282',-5000
'0:00.285',-6800
'0:00.288',-1200
'0:00.291',9400
'0:00.294',13400
'0:00.297',5200
'0:00.300',-5600
'0:00.303',-11200
'0:00.306',-11000
'0:00.309',-8200
'0:00.312',-3800
'0:00.315',1200
'0:00.318',4800
'0:00.321',6000
'0:00.324',4600
'0:00.327',1200
'0:00.330',-1400
'0:00.333',3600
'0:00.336',10400
'0:00.339',0
'0:00.342',-13600
'0:00.345',-8000
'0:00.348',3400
'0:00.351',3800
'0:00.354',-1000
'0:00.357',-2000
'0:00.360',1000
'0:00.363',5000
'0:00.366',6400
'0:00.369',4200
'0:00.372',200
'0:00.375',-3600
'0:00.378',-6200
'0:00.381',-7200
'0:00.384',-5600
'0:00.387',-4000
'0:00.390',-1400
'0:00.393',0
'0:00.396',200
'0:00.399',400
'0:00.402',1800
'0:00.405',2600
'0:00.408',2200
'0:00.411',400
'0:00.414',-800
'0:00.417',-200
'0:00.420',1400
'0:00.423',2200
'0:00.426',1600
'0:00.429',800
'0:00.432',600
'0:00.435',600
'0:00.438',-1000
'0:00.441',-4000
'0:00.444',-3400
'0:00.447',1800
'0:00.450',3200
'0:00.453',1400
'0:00.456',200
'0:00.459',-1600
'0:00.462',-3800
'0:00.465',-5400
'0:00.468',-5800
'0:00.471',-4200
'0:00.474',-1000
'0:00.477',2200
'0:00.480',3800
'0:00.483',3800
'0:00.486',2600
'0:00.489',800
'0:00.492',-600
'0:00.495',-1400
'0:00.498',-400
'0:00.502',1200
'0:00.505',800
'0:00.508',-400
'0:00.511',-400
'0:00.514',-600
'0:00.517',-800
'0:00.520',-200
'0:00.523',800
'0:00.526',1400
'0:00.529',1200
'0:00.532',400
'0:00.535',-400
'0:00.538',-600
'0:00.541',-800
'0:00.544',-1200
'0:00.547',-1400
'0:00.550',-1200
'0:00.553',-1400
'0:00.556',-2000
'0:00.559',-2400
'0:00.562',-1600
'0:00.565',-400
'0:00.568',200
'0:00.571',-400
'0:00.574',-1400
'0:00.577',-1400
'0:00.580',200
'0:00.583',800
'0:00.586',800
'0:00.589',1200
'0:00.592',1400
'0:00.595',800
'0:00.598',-200
'0:00.601',-400
'0:00.604',-600
'0:00.607',-600
'0:00.610',1000
'0:00.613',1800
'0:00.616',600
'0:00.619',-600
'0:00.622',-600
'0:00.625',-400
'0:00.628',-1400
'0:00.631',-2000
'0:00.634',-1200
'0:00.637',0
'0:00.640',1200
'0:00.643',2200
'0:00.646',2600
'0:00.649',2400
'0:00.652',1800
'0:00.655',600
'0:00.658',-600
'0:00.661',-1400
'0:00.664',-1600
'0:00.667',-1800
'0:00.670',-2400
'0:00.673',-3200
'0:00.676',-3200
'0:00.679',-2800
'0:00.682',-2600
'0:00.685',-2200
'0:00.688',-1800
'0:00.691',-800
'0:00.694',1600
'0:00.697',1200
'0:00.700',-2400
'0:00.703',-800
'0:00.706',6600
'0:00.709',10200
'0:00.712',6400
'0:00.715',1600
'0:00.718',600
'0:00.721',-1000
'0:00.724',-5800
'0:00.727',-9600
'0:00.730',-6600
'0:00.733',800
'0:00.736',6800
'0:00.739',6200
'0:00.742',1400
'0:00.745',-4200
'0:00.748',-7000
'0:00.751',-6200
'0:00.754',-2600
'0:00.757',1400
'0:00.760',4600
'0:00.763',6200
'0:00.766',5400
'0:00.769',2600
'0:00.772',-400
'0:00.775',-2400
'0:00.778',-2400
'0:00.781',-1800
'0:00.784',-1000
'0:00.787',-400
'0:00.790',600
'0:00.793',1800
'0:00.796',1800
'0:00.799',600
'0:00.802',-400
'0:00.805',-1400
'0:00.808',-1600
'0:00.811',-1800
'0:00.814',-2200
'0:00.817',-2400
'0:00.820',-2000
'0:00.823',-1200
'0:00.826',-800
'0:00.829',-400
'0:00.832',200
'0:00.835',400
'0:00.838',0
'0:00.841',-400
'0:00.844',-200
'0:00.847',400
'0:00.850',600
'0:00.853',600
'0:00.856',600
'0:00.859',800
'0:00.862',1200
'0:00.865',2000
'0:00.868',1600
'0:00.871',600
'0:00.874',-400
'0:00.877',-1000
'0:00.880',-800
'0:00.883',-1800
'0:00.886',-2200
'0:00.889',1400
'0:00.892',2800
'0:00.895',1600
'0:00.898',600
'0:00.901',-1000
'0:00.904',-2600
'0:00.907',-3200
'0:00.910',-4200
'0:00.913',-4200
'0:00.916',-600
'0:00.919',3000
'0:00.922',3400
'0:00.925',2000
'0:00.928',1000
'0:00.931',-200
'0:00.934',-1400
'0:00.937',-2200
'0:00.940',-2200
'0:00.943',-1000
'0:00.946',0
'0:00.949',800
'0:00.952',1000
'0:00.955',600
'0:00.958',600
'0:00.961',1000
'0:00.964',1600
'0:00.967',1600
'0:00.970',1400
'0:00.973',1400
'0:00.976',800
'0:00.979',-400
'0:00.982',-1400
'0:00.985',-2000
'0:00.988',-2400
'0:00.991',-2600
'0:00.994',-2400
'0:00.997',-2000
'0:01.000',-1800
'0:01.003',-600
'0:01.006',-200
'0:01.009',800
'0:01.012',800
'0:01.015',1200
'0:01.018',600
'0:01.021',400
'0:01.024',0
'0:01.027',0
'0:01.030',200
'0:01.033',0
'0:01.036',200
'0:01.039',0
'0:01.042',0
'0:01.045',-200
'0:01.048',-200
'0:01.051',-600
'0:01.054',-400
'0:01.057',-200
'0:01.060',-200
'0:01.063',-200
'0:01.066',-200
'0:01.069',0
'0:01.072',200
'0:01.075',-200
'0:01.078',-200
'0:01.081',-400
'0:01.084',-600
'0:01.087',-200
'0:01.090',400
'0:01.093',800
'0:01.096',1000
'0:01.099',800
'0:01.102',400
'0:01.105',-600
'0:01.108',-1200
'0:01.111',-1600
'0:01.114',-1000
'0:01.117',-600
'0:01.120',-400
'0:01.123',0
'0:01.126',-600
'0:01.129',-400
'0:01.132',-400
'0:01.135',-400
'0:01.138',-600
'0:01.141',-600
'0:01.144',600
'0:01.147',1400
'0:01.150',-1800
'0:01.153',-6000
'0:01.156',-3000
'0:01.159',5000
'0:01.162',7000
'0:01.165',2800
'0:01.168',-600
'0:01.171',0
'0:01.174',-800
'0:01.177',-4800
'0:01.180',-6200
'0:01.183',-1200
'0:01.186',6200
'0:01.189',9600
'0:01.192',5800
'0:01.195',-1400
'0:01.198',-6800
'0:01.201',-8200
'0:01.204',-6200
'0:01.207',-2200
'0:01.210',1800
'0:01.213',4400
'0:01.216',4600
'0:01.219',2800
'0:01.222',200
'0:01.225',-1800
'0:01.228',-3200
'0:01.231',-3000
'0:01.234',-1800
'0:01.237',-600
'0:01.240',600
'0:01.243',1800
'0:01.246',2400
'0:01.249',2000
'0:01.252',1000
'0:01.255',600
'0:01.258',-600
'0:01.261',-1000
'0:01.264',-600
'0:01.267',-1000
'0:01.270',-1000
'0:01.273',-1000
'0:01.276',-800
'0:01.279',-200
'0:01.282',600
'0:01.285',-400
'0:01.288',-1600
'0:01.291',-2200
'0:01.294',-2800
'0:01.297',-2800
'0:01.300',-2600
'0:01.303',-1800
'0:01.306',400
'0:01.309',3400
'0:01.312',5000
'0:01.315',5400
'0:01.318',5800
'0:01.321',5800
'0:01.324',4800
'0:01.327',2800
'0:01.330',200
'0:01.333',-2800
'0:01.336',-6400
'0:01.339',-8000
'0:01.342',-3800
'0:01.345',-800
'0:01.348',-1400
'0:01.351',-2000
'0:01.354',-3200
'0:01.357',-4200
'0:01.360',-4600
'0:01.363',-4800
'0:01.366',-4000
'0:01.369',200
'0:01.372',5400
'0:01.375',7400
'0:01.378',6200
'0:01.381',3800
'0:01.384',2000
'0:01.387',200
'0:01.390',-1200
'0:01.393',-1600
'0:01.396',-400
'0:01.399',600
'0:01.402',400
'0:01.405',-200
'0:01.408',-1400
'0:01.411',-1200
'0:01.414',-1000
'0:01.417',-400
'0:01.420',-400
'0:01.423',0
'0:01.426',600
'0:01.429',600
'0:01.432',800
'0:01.435',600
'0:01.438',400
'0:01.441',400
'0:01.444',200
'0:01.447',200
'0:01.450',0
'0:01.453',-400
'0:01.456',-800
'0:01.459',-1400
'0:01.462',-2000
