Elapsed time',PCG
hh:mm:ss.mmm',mV'
0:00.000',-800
0:00.003',0
0:00.006',800
0:00.009',-200
0:00.012',-1800
0:00.015',-2000
0:00.018',600
0:00.021',1800
0:00.024',200
0:00.027',-800
0:00.030',-800
0:00.033',1400
0:00.036',4800
0:00.039',-1800
0:00.042',-7600
0:00.045',-2600
0:00.048',3600
0:00.051',4800
0:00.054',4400
0:00.057',0
0:00.060',-5400
0:00.063',-3800
0:00.066',0
0:00.069',-400
0:00.072',-2800
0:00.075',-1600
0:00.078',1800
0:00.081',3600
0:00.084',1400
0:00.087',-800
0:00.090',-600
0:00.093',800
0:00.096',200
0:00.099',-800
0:00.102',0
0:00.105',800
0:00.108',-400
0:00.111',-1600
0:00.114',-2400
0:00.117',-1200
0:00.120',1200
0:00.123',600
0:00.126',-800
0:00.129',-800
0:00.132',-600
0:00.135',400
0:00.138',2400
0:00.141',1200
0:00.144',-1600
0:00.147',1400
0:00.150',3400
0:00.153',-1400
0:00.156',-800
0:00.159',1200
0:00.162',-2400
0:00.165',-4200
0:00.168',-2000
0:00.171',0
0:00.174',-200
0:00.177',0
0:00.180',800
0:00.183',1000
0:00.186',600
0:00.189',400
0:00.192',200
0:00.195',0
0:00.198',-200
0:00.201',-200
0:00.204',-200
0:00.207',-200
0:00.210',-200
0:00.213',-200
0:00.216',0
0:00.219',0
0:00.222',0
0:00.225',-600
0:00.228',-400
0:00.231',200
0:00.234',200
0:00.237',-200
0:00.240',-1800
0:00.243',-2000
0:00.246',-1000
0:00.249',2200
0:00.252',4000
0:00.255',1400
0:00.258',-1800
0:00.261',-2000
0:00.264',600
0:00.267',800
0:00.270',-2000
0:00.273',-2400
0:00.276',-1200
0:00.279',-200
0:00.282',0
0:00.285',200
0:00.288',400
0:00.291',0
0:00.294',-200
0:00.297',0
0:00.300',400
0:00.303',400
0:00.306',400
0:00.309',600
0:00.312',400
0:00.315',0
0:00.318',-400
0:00.321',-800
0:00.324',-400
0:00.327',0
0:00.330',0
0:00.333',-200
0:00.336',-200
0:00.339',0
0:00.342',-600
0:00.345',-800
0:00.348',0
0:00.351',400
0:00.354',400
0:00.357',200
0:00.360',0
0:00.363',-400
0:00.366',-1000
0:00.369',-600
0:00.372',200
0:00.375',200
0:00.378',-400
0:00.381',-200
0:00.384',-400
0:00.387',-400
0:00.390',-400
0:00.393',-400
0:00.396',-400
0:00.399',-200
0:00.402',200
0:00.405',600
0:00.408',200
0:00.411',0
0:00.414',-200
0:00.417',0
0:00.420',0
0:00.423',-400
0:00.426',-400
0:00.429',-600
0:00.432',-400
0:00.435',0
0:00.438',0
0:00.441',400
0:00.444',0
0:00.447',0
0:00.450',0
0:00.453',-400
0:00.456',-400
0:00.459',0
0:00.462',200
0:00.465',-200
0:00.468',-400
0:00.471',0
0:00.474',0
0:00.477',-200
0:00.480',0
0:00.483',-200
0:00.486',-200
0:00.489',-200
0:00.492',0
0:00.495',-400
0:00.498',-400
0:00.502',-400
0:00.505',200
0:00.508',0
0:00.511',-200
0:00.514',-400
0:00.517',-200
0:00.520',0
0:00.523',0
0:00.526',200
0:00.529',400
0:00.532',-200
0:00.535',-200
0:00.538',-600
0:00.541',-800
0:00.544',600
0:00.547',1200
0:00.550',0
0:00.553',-800
0:00.556',-800
0:00.559',-400
0:00.562',0
0:00.565',0
0:00.568',-200
0:00.571',-200
0:00.574',0
0:00.577',0
0:00.580',0
0:00.583',0
0:00.586',0
0:00.589',-400
0:00.592',-600
0:00.595',-600
0:00.598',0
0:00.601',-200
0:00.604',-200
0:00.607',0
0:00.610',0
0:00.613',0
0:00.616',-200
0:00.619',0
0:00.622',200
0:00.625',-200
0:00.628',0
0:00.631',0
0:00.634',-200
0:00.637',0
0:00.640',-200
0:00.643',-400
0:00.646',-200
0:00.649',-200
0:00.652',-400
0:00.655',-400
0:00.658',-400
0:00.661',-200
0:00.664',0
0:00.667',-200
0:00.670',0
0:00.673',0
0:00.676',0
0:00.679',0
0:00.682',0
0:00.685',-200
0:00.688',-200
0:00.691',-200
0:00.694',-200
0:00.697',0
0:00.700',0
0:00.703',-200
0:00.706',-400
0:00.709',-200
0:00.712',-200
0:00.715',0
0:00.718',0
0:00.721',0
0:00.724',0
0:00.727',-200
0:00.730',-400
0:00.733',-400
0:00.736',-600
0:00.739',-200
0:00.742',-200
0:00.745',0
0:00.748',0
0:00.751',-200
0:00.754',0
0:00.757',-200
0:00.760',-400
0:00.763',-200
0:00.766',-200
0:00.769',0
0:00.772',-200
0:00.775',0
0:00.778',0
0:00.781',-200
0:00.784',0
0:00.787',0
0:00.790',-200
0:00.793',-400
0:00.796',0
0:00.799',-200
0:00.802',-200
0:00.805',-600
0:00.808',-200
0:00.811',0
0:00.814',0
0:00.817',0
0:00.820',0
0:00.823',0
0:00.826',-400
0:00.829',-200
0:00.832',-200
0:00.835',-200
0:00.838',-400
0:00.841',0
0:00.844',-200
0:00.847',0
0:00.850',-400
0:00.853',-200
0:00.856',-200
0:00.859',-200
0:00.862',0
0:00.865',0
0:00.868',0
0:00.871',0
0:00.874',-400
0:00.877',-200
0:00.880',0
0:00.883',-200
0:00.886',0
0:00.889',0
0:00.892',-200
0:00.895',-200
0:00.898',-200
0:00.901',-200
0:00.904',-200
0:00.907',-200
0:00.910',-400
0:00.913',-200
0:00.916',-200
0:00.919',-400
0:00.922',0
0:00.925',-200
0:00.928',0
0:00.931',-200
0:00.934',-200
0:00.937',-200
0:00.940',0
0:00.943',-200
0:00.946',-200
0:00.949',-200
0:00.952',-200
0:00.955',-200
0:00.958',-200
0:00.961',-200
0:00.964',-200
0:00.967',-200
0:00.970',-200
0:00.973',-200
0:00.976',-200
0:00.979',0
0:00.982',0
0:00.985',200
0:00.988',200
0:00.991',-200
0:00.994',-200
0:00.997',-400
0:01.000',-200
0:01.003',-200
0:01.006',-200
0:01.009',0
0:01.012',-200
0:01.015',0
0:01.018',-200
0:01.021',-400
0:01.024',0
0:01.027',0
0:01.030',0
0:01.033',0
0:01.036',-200
0:01.039',-600
0:01.042',-200
0:01.045',-200
0:01.048',0
0:01.051',0
0:01.054',200
0:01.057',-200
0:01.060',-400
0:01.063',-200
0:01.066',0
0:01.069',-200
0:01.072',-200
0:01.075',-200
0:01.078',200
0:01.081',-200
0:01.084',-200
0:01.087',-200
0:01.090',-200
0:01.093',0
0:01.096',0
0:01.099',0
0:01.102',-200
0:01.105',0
0:01.108',-200
0:01.111',-200
0:01.114',-400
0:01.117',-200
0:01.120',-200
0:01.123',-200
0:01.126',-400
0:01.129',0
0:01.132',200
0:01.135',200
0:01.138',-200
0:01.141',-200
0:01.144',200
0:01.147',0
0:01.150',-400
0:01.153',-200
0:01.156',-400
0:01.159',-400
0:01.162',-400
0:01.165',-200
0:01.168',200
0:01.171',0
0:01.174',0
0:01.177',-200
0:01.180',0
0:01.183',-200
0:01.186',-200
0:01.189',-200
0:01.192',0
0:01.195',-200
0:01.198',-200
0:01.201',-400
0:01.204',0
0:01.207',0
0:01.210',-200
0:01.213',-200
0:01.216',-400
0:01.219',-200
0:01.222',0
0:01.225',0
0:01.228',-200
0:01.231',-200
0:01.234',-200
0:01.237',0
0:01.240',-200
0:01.243',-200
0:01.246',0
0:01.249',-200
0:01.252',-200
0:01.255',-200
0:01.258',-200
0:01.261',-200
0:01.264',-200
0:01.267',0
0:01.270',0
0:01.273',0
0:01.276',-200
0:01.279',-200
0:01.282',-200
0:01.285',-200
0:01.288',-200
0:01.291',-200
0:01.294',-200
0:01.297',-200
0:01.300',-200
0:01.303',-200
0:01.306',0
0:01.309',-200
0:01.312',0
0:01.315',-200
0:01.318',0
0:01.321',-200
0:01.324',0
0:01.327',0
0:01.330',-200
0:01.333',0
0:01.336',0
0:01.339',-400
0:01.342',0
0:01.345',-200
0:01.348',-200
0:01.351',-600
0:01.354',-400
0:01.357',-200
0:01.360',0
0:01.363',0
0:01.366',0
0:01.369',0
0:01.372',0
0:01.375',-400
0:01.378',-200
0:01.381',-200
0:01.384',-400
0:01.387',-200
0:01.390',0
0:01.393',0
0:01.396',0
0:01.399',0
0:01.402',-200
0:01.405',-200
0:01.408',0
0:01.411',-200
0:01.414',-200
0:01.417',-200
0:01.420',-200
0:01.423',-200
0:01.426',-200
0:01.429',-200
0:01.432',-400
0:01.435',-200
0:01.438',0
0:01.441',0
0:01.444',200
0:01.447',0
0:01.450',-200
0:01.453',0
0:01.456',-400
0:01.459',-200
0:01.462',-200
0:01.465',0
0:01.468',-200
0:01.471',-200
0:01.474',0
0:01.477',-200
0:01.480',0
0:01.483',0
0:01.486',-200
0:01.489',-200
0:01.492',-200
0:01.495',-200
0:01.498',0
0:01.502',-200
0:01.505',-200
0:01.508',-200
0:01.511',-400
0:01.514',-200
0:01.517',-200
0:01.520',0
0:01.523',-200
0:01.526',-200
0:01.529',-200
0:01.532',-200
0:01.535',0
0:01.538',-200
0:01.541',-200
0:01.544',-200
0:01.547',-200
0:01.550',-200
0:01.553',-200
0:01.556',-400
0:01.559',-200
0:01.562',-200
0:01.565',0
0:01.568',0
0:01.571',-200
0:01.574',-600
0:01.577',-200
0:01.580',-200
0:01.583',-200
0:01.586',200
0:01.589',-200
0:01.592',0
0:01.595',-200
0:01.598',-200
0:01.601',-200
0:01.604',-200
0:01.607',-200
0:01.610',-200
0:01.613',0
0:01.616',-200
0:01.619',-200
0:01.622',0
0:01.625',0
0:01.628',-200
0:01.631',-200
0:01.634',-200
0:01.637',-400
0:01.640',-400
0:01.643',-200
0:01.646',0
0:01.649',-200
0:01.652',-200
0:01.655',-200
0:01.658',-200
0:01.661',-200
0:01.664',-200
0:01.667',-200
0:01.670',-200
0:01.673',400
0:01.676',0
0:01.679',-200
0:01.682',0
0:01.685',-200
0:01.688',-200
0:01.691',-200
0:01.694',-200
0:01.697',-200
0:01.700',-200
0:01.703',-200
0:01.706',0
0:01.709',0
0:01.712',0
0:01.715',0
0:01.718',0
0:01.721',-200
0:01.724',-200
0:01.727',-400
0:01.730',0
0:01.733',0
0:01.736',-200
0:01.739',-200
0:01.742',-200
0:01.745',-200
0:01.748',-200
0:01.751',-200
0:01.754',-200
0:01.757',-200
0:01.760',-200
0:01.763',-200
0:01.766',-200
0:01.769',0
0:01.772',0
0:01.775',-200
0:01.778',-200
0:01.781',0
0:01.784',0
0:01.787',0
0:01.790',0
0:01.793',0
0:01.796',-200
0:01.799',-200
0:01.802',-200
0:01.805',-200
0:01.808',0
0:01.811',0
0:01.814',-200
0:01.817',0
0:01.820',-400
0:01.823',0
0:01.826',-200
0:01.829',0
0:01.832',-200
0:01.835',0
0:01.838',-200
0:01.841',0
0:01.844',-200
0:01.847',-200
0:01.850',-200
0:01.853',0
0:01.856',0
0:01.859',-400
0:01.862',0
0:01.865',-200
0:01.868',0
0:01.871',-200
0:01.874',-200
0:01.877',-200
0:01.880',-400
0:01.883',-200
0:01.886',0
0:01.889',0
0:01.892',0
0:01.895',0
0:01.898',-400
0:01.901',-400
0:01.904',-200
0:01.907',-200
0:01.910',-200
0:01.913',-200
0:01.916',-200
0:01.919',0
0:01.922',-200
0:01.925',0
0:01.928',-200
0:01.931',0
0:01.934',-200
0:01.937',-200
0:01.940',-200
0:01.943',-200
0:01.946',0
0:01.949',-200
0:01.952',0
0:01.955',0
0:01.958',-200
0:01.961',0
0:01.964',-200
0:01.967',0
0:01.970',-200
0:01.973',-400
0:01.976',200
0:01.979',-200
0:01.982',-200
0:01.985',0
0:01.988',-200
0:01.991',0
0:01.994',0
0:01.997',-200
0:02.000',0
0:02.003',-200
0:02.006',-400
0:02.009',200
0:02.012',-200
0:02.015',200
0:02.018',0
0:02.021',-200
0:02.024',0
0:02.027',200
0:02.030',-400
0:02.033',0
0:02.036',-200
0:02.039',-200
0:02.042',-200
0:02.045',0
0:02.048',-200
0:02.051',-200
0:02.054',-200
0:02.057',-200
0:02.060',-200
0:02.063',-200
0:02.066',-200
0:02.069',200
0:02.072',-400
0:02.075',-200
0:02.078',-200
0:02.081',0
0:02.084',0
0:02.087',-200
0:02.090',-200
0:02.093',0
0:02.096',-200
0:02.099',-200
0:02.102',0
