'sample interval',PCG
'0.003003 sec','mV'
0,1800
1,800
2,-200
3,-600
4,-1800
5,-3600
6,-4400
7,-2400
8,1800
9,3200
10,1800
11,-1200
12,-2600
13,-1600
14,1600
15,4000
16,3200
17,-200
18,-2400
19,-3400
20,-3200
21,-2200
22,-400
23,1800
24,3800
25,4000
26,2600
27,1200
28,400
29,0
30,200
31,200
32,0
33,-800
34,-1800
35,-2600
36,-3200
37,-4800
38,-7000
39,-7400
40,-5600
41,-2800
42,200
43,4600
44,7600
45,8600
46,8400
47,8000
48,7600
49,5800
50,1400
51,-4200
52,-8400
53,-9200
54,-7000
55,-4400
56,-2200
57,-400
58,1200
59,2000
60,1000
61,-1000
62,-3200
63,-4800
64,-5800
65,-5200
66,-3200
67,-400
68,2200
69,4200
70,5600
71,6200
72,4200
73,2400
74,2600
75,3400
76,2800
77,1600
78,-800
79,-1000
80,200
81,1200
82,400
83,-1200
84,-2200
85,-3400
86,-4200
87,-4400
88,-4600
89,-4200
90,-3200
91,-2200
92,-1000
93,600
94,2600
95,3200
96,3000
97,2400
98,2000
99,1600
100,1000
101,400
102,800
103,1000
104,200
105,-400
106,-200
107,-800
108,-2600
109,-3400
110,-2200
111,-400
112,1000
113,1000
114,-200
115,-1200
116,-600
117,200
118,2000
119,3400
120,3600
121,2400
122,600
123,-1000
124,-1200
125,-1800
126,-2600
127,-3000
128,-1200
129,800
130,1200
131,600
132,600
133,600
134,1000
135,1000
136,400
137,-1200
138,-3200
139,-4200
140,-5000
141,-5200
142,-2800
143,1400
144,3800
145,2400
146,-200
147,-600
148,1600
149,5400
150,6400
151,3600
152,-600
153,-3000
154,-3600
155,-3200
156,-2000
157,-400
158,1200
159,1800
160,1400
161,400
162,-1000
163,-1200
164,-600
165,0
166,1000
167,1400
168,600
169,-1000
170,-2200
171,-3200
172,-4200
173,-5000
174,-6200
175,-6600
176,-4000
177,3600
178,7400
179,8000
180,7400
181,7200
182,8000
183,8200
184,6000
185,1600
186,-4200
187,-9000
188,-10600
189,-10200
190,-9000
191,-7000
192,-4200
193,-400
194,2600
195,4200
196,4000
197,2400
198,600
199,-1000
200,-1600
201,-1000
202,400
203,2000
204,3000
205,3400
206,2000
207,-1600
208,-4600
209,-4600
210,-2200
211,-800
212,-600
213,1000
214,4200
215,5000
216,3800
217,2200
218,1400
219,600
220,-600
221,-2000
222,-2600
223,-2200
224,-1600
225,-1000
226,-800
227,-400
228,0
229,0
230,0
231,200
232,600
233,400
234,0
235,0
236,0
237,-800
238,-1200
239,-1600
240,-1600
241,-1800
242,-2200
243,-2000
244,-1400
245,-1000
246,-400
247,600
248,1400
249,2000
250,2000
251,1200
252,600
253,1000
254,1600
255,1000
256,0
257,-800
258,-1000
259,-1000
260,-1400
261,-1400
262,-600
263,400
264,600
265,600
266,800
267,1600
268,800
269,600
270,800
271,1400
272,800
273,-200
274,-1600
275,-2400
276,-2200
277,-1800
278,-1800
279,-1600
280,-1200
281,-1400
282,-2400
283,-3200
284,-2600
285,200
286,3400
287,4800
288,3200
289,600
290,-800
291,-600
292,1400
293,3000
294,1000
295,-2400
296,-4800
297,-5200
298,-3800
299,-1600
300,1400
301,3800
302,5200
303,4800
304,2800
305,1200
306,200
307,-600
308,200
309,1000
310,1200
311,400
312,-1400
313,-3400
314,-5600
315,-6400
316,-6200
317,-6600
318,-7400
319,-5800
320,3800
321,8400
322,9400
323,8800
324,9000
325,10800
326,10400
327,6200
328,-400
329,-8000
330,-10800
331,-10400
332,-8800
333,-5600
334,-4400
335,-3600
336,-1600
337,1600
338,2600
339,2000
340,800
341,-600
342,-2000
343,-3600
344,-3800
345,-600
346,3600
347,5400
348,4200
349,1800
350,-200
351,-2200
352,-2200
353,400
354,2200
355,2000
356,2200
357,3800
358,4400
359,3400
360,2200
361,1000
362,-600
363,-1600
364,-1800
365,-1600
366,-1800
367,-2000
368,-1800
369,-2200
370,-3200
371,-5200
372,-6800
373,-5200
374,-2400
375,200
376,1400
377,2200
378,3000
379,4200
380,5800
381,6000
382,3800
383,600
384,-3000
385,-5400
386,-5000
387,-2600
388,1400
389,3400
390,2800
391,800
392,-1600
393,-3400
394,-3200
395,-1000
396,1000
397,3200
398,5800
399,800
400,-9400
401,-13200
402,-5600
403,4400
404,6600
405,2000
406,-1600
407,-1800
408,200
409,2400
410,4200
411,6000
412,6200
413,4600
414,3800
415,3000
416,-600
417,-4000
418,-5200
419,-4600
420,-3600
421,-4000
422,-4800
423,-5600
424,-5000
425,-2400
426,-800
427,-1400
428,-1200
429,2000
430,5200
431,4600
432,2000
433,0
434,1400
435,5400
436,6600
437,2600
438,-2600
439,-4400
440,-3400
441,-2000
442,-1400
443,-200
444,2200
445,3800
446,3800
447,1600
448,-2400
449,-4000
450,-2400
451,600
452,2400
453,3000
454,1800
455,-1200
456,-3600
457,-5800
458,-8000
459,-9800
460,-9400
461,-5200
462,2200
463,6800
464,8200
465,8000
466,7600
467,7000
468,7200
469,9200
470,10400
471,5800
472,-7600
473,-12600
474,-12800
475,-11400
476,-9200
477,-6800
478,-3000
479,3600
480,5600
481,2000
482,-800
483,-1800
484,-2200
485,-2000
486,-1000
487,-600
488,-400
489,1600
490,4600
491,5200
492,3400
493,1200
494,-800
495,-1600
496,-200
497,2200
498,2000
499,400
500,600
501,2200
502,1600
503,1000
504,800
505,-600
506,-2000
507,-800
508,800
509,1600
510,1400
511,1000
512,200
513,-2000
514,-4200
515,-6400
516,-7600
517,-6200
518,-2200
519,200
520,-1400
521,-4000
522,-4600
523,0
524,7600
525,10200
526,5800
527,1400
528,1200
529,1800
530,200
531,-2600
532,-2800
533,-800
534,1200
535,1000
536,-1600
537,-4200
538,-3200
539,600
540,1600
541,600
542,1800
543,4000
544,4200
545,1200
546,-3000
547,-5600
548,-4400
549,-1200
550,800
551,800
552,-1000
553,-2000
554,-1600
555,-800
556,-400
557,1000
558,3200
559,2800
560,-600
561,-3200
562,-1400
563,2600
564,5600
565,4400
566,-200
567,-3800
568,-4200
569,-3200
570,-3000
571,-3400
572,-3400
573,-1000
574,1600
575,2200
576,1800
577,600
578,0
579,1800
580,3200
581,1400
582,-1400
583,-3000
584,-2000
585,-600
586,1200
587,3600
588,4600
589,3000
590,600
591,-400
592,-600
593,-2600
594,-4000
595,-1800
596,1400
597,1600
598,-1000
599,-4200
600,-6200
601,-6800
602,-6800
603,-5400
604,-4400
605,-2000
606,3800
607,7800
608,9000
609,9200
610,10000
611,11200
612,9800
613,4000
614,-1400
615,-7600
616,-10200
617,-11200
618,-9800
619,-8200
620,-5600
621,-400
622,1400
623,3200
624,3000
625,2400
626,1800
627,-1200
628,-2400
629,-2600
630,800
631,2200
632,2400
633,3000
634,1400
635,600
636,-600
637,1600
638,2200
639,0
640,-1400
641,-1000
642,600
643,600
644,-200
645,400
646,2400
647,3400
648,1000
649,-2400
650,-4800
651,-5400
652,-4800
653,-3600
654,-2600
655,-2200
656,-1200
657,-600
658,-400
659,200
660,1600
661,2600
662,3000
663,2400
664,2800
665,3600
666,4000
667,2400
668,-400
669,-1400
670,-1800
671,-1000
672,-1600
673,-1600
674,-800
675,-600
676,-800
677,-600
678,400
679,400
680,-1000
681,-2400
682,-1800
683,400
684,1600
685,1000
686,0
687,0
688,1400
689,2200
690,1800
691,800
692,200
693,200
694,-200
695,-1800
696,-2800
697,-3000
698,-2400
699,-1800
700,-2200
701,-2200
702,-1800
703,-600
704,-1200
705,-2200
706,-1400
707,1400
708,4400
709,3400
710,2000
711,-1000
712,-600
713,200
714,1400
715,1600
716,-2000
717,-3600
718,-4800
719,-800
720,2800
721,2800
722,1200
723,-1200
724,-200
725,2000
726,3400
727,2600
728,400
729,-200
730,-1200
731,-2000
732,-2000
733,-600
734,1800
735,3600
736,3000
737,600
738,-2000
739,-3400
740,-3000
741,-1200
742,600
743,400
744,-1200
745,-1400
746,-200
747,-800
748,-4000
749,-6400
750,-6400
751,-5400
752,-5000
753,-2200
754,5000
755,10000
756,11600
757,11800
758,10000
759,6200
760,1000
761,-2800
762,-6800
763,-8200
764,-7800
765,-6000
766,-3600
767,-2200
768,200
769,1600
770,3600
771,2000
772,0
773,-2600
774,-3000
775,-3000
776,-2800
777,-2400
778,-1800
779,1000
780,1600
781,2600
782,1800
783,1800
784,600
785,200
786,1400
787,1800
788,1000
789,-1000
790,1400
791,2600
792,3600
793,2400
794,1400
795,400
796,-400
797,-1600
798,-2600
799,-1600
800,-2000
801,200
802,400
803,400
804,-1000
805,-3000
806,-4000
807,-3800
808,-1400
809,-2000
810,-1200
811,-800
812,1200
813,2000
814,200
815,600
816,600
817,1000
818,600
819,-200
820,400
821,400
822,400
823,200
824,400
825,200
826,-1000
827,-2400
828,-2600
829,-1400
830,-1200
831,-1000
832,-1400
833,-1000
834,800
835,1400
836,1000
837,0
838,800
839,4000
840,5400
841,3600
842,400
843,-2000
844,-3000
845,-2800
846,-2400
847,-1200
848,600
849,1000
850,800
851,200
852,-400
853,-800
854,-800
855,-600
856,-200
857,800
858,1200
859,800
860,-200
861,-1000
862,-1400
863,-3000
864,-5400
865,-5200
866,-2200
867,2400
868,5400
869,5000
870,1000
871,-3000
872,-3000
873,1400
874,5800
875,4800
876,800
877,-2200
878,-4200
879,-4400
880,-3400
881,-2600
882,-1800
883,0
884,2400
885,4200
886,4600
887,2200
888,-400
889,-2600
890,-3000
891,-800
892,2600
893,4200
894,2800
895,-200
896,-3800
897,-7200
898,-10000
899,-9800
900,-3000
901,4800
902,7800
903,8000
904,7400
905,7200
906,6800
907,6000
908,3000
909,-1800
910,-6800
911,-9000
912,-9000
913,-8400
914,-6800
915,-3200
916,1400
917,2600
918,1600
919,200
920,-1000
921,-1200
922,-1600
923,-1800
924,-400
925,1200
926,2400
927,3000
928,2800
929,3800
930,4600
931,2800
932,-1400
933,-5000
934,-4600
935,-2000
936,-1400
937,-1600
938,0
939,3600
940,4600
941,3400
942,2800
943,2000
944,3200
945,3400
946,2600
947,1000
948,-2000
949,-3600
950,-5200
951,-4800
952,-4800
953,-5800
954,-6400
955,-7400
956,-5200
957,-2200
958,1000
959,3000
960,3200
961,5000
962,4800
963,6000
964,6600
965,6000
966,2000
967,-3000
968,-3000
969,-1000
970,400
971,-1600
972,-2600
973,-4000
974,-3600
975,-2400
976,-1000
977,-400
978,800
979,1600
980,1000
981,600
982,1800
983,4600
984,4400
985,2200
986,200
987,-600
988,-2000
989,-3600
990,-4200
991,-3400
992,-1800
993,-1600
994,-2200
995,-2400
996,-1200
997,0
998,1000
999,1000
1000,800
1001,1400
1002,1800
1003,2600
1004,1800
1005,1000
1006,200
1007,-400
1008,-800
1009,-1400
1010,-3400
1011,-5200
1012,-4400
1013,-200
1014,3800
1015,4600
1016,1800
1017,0
1018,400
1019,2800
1020,4400
1021,4200
1022,1000
1023,-1800
1024,-2600
1025,-3600
1026,-3800
1027,-1600
1028,2200
1029,4400
1030,3000
1031,-400
1032,-2800
1033,-3400
1034,-2200
1035,-1000
1036,-200
1037,-400
1038,-400
1039,-1000
1040,-1600
1041,-2200
1042,-2600
1043,-3000
1044,-4400
1045,-5200
1046,-800
1047,3800
1048,5600
1049,6000
1050,5600
1051,4800
1052,5400
1053,7200
1054,6600
1055,2400
1056,-3200
1057,-8800
1058,-12000
1059,-11000
1060,-7000
1061,-3400
1062,-2600
1063,-1800
1064,400
1065,2200
1066,2800
1067,1200
1068,-1200
1069,-1600
1070,600
1071,3400
1072,3800
1073,2600
1074,600
1075,1200
1076,3200
1077,2800
1078,-1200
1079,-3200
1080,-1800
1081,1000
1082,1400
1083,600
1084,0
1085,-600
1086,200
1087,-200
1088,-200
1089,-200
1090,0
1091,400
1092,-800
1093,-1000
1094,-600
1095,-1000
1096,-1000
1097,-1400
1098,-2400
1099,-3400
1100,-3200
1101,-2400
1102,-2000
1103,-2000
1104,-1800
1105,800
1106,3400
1107,3800
1108,3600
1109,2800
1110,1600
1111,-1200
1112,-3800
1113,-4200
1114,-3800
1115,-2600
1116,-400
1117,2400
1118,3800
1119,4000
1120,3400
1121,2800
1122,3400
1123,4400
1124,4000
1125,1400
1126,-2000
1127,-4200
1128,-4800
1129,-4200
1130,-3400
1131,-3000
1132,-3200
1133,-3200
1134,-2400
1135,-2800
1136,-2400
1137,-1800
1138,-400
1139,-800
1140,-1400
1141,0
1142,800
1143,2200
1144,1800
1145,2400
1146,2200
1147,2200
1148,2600
1149,3000
1150,3200
1151,2000
1152,1400
1153,200
1154,-1000
1155,-4600
1156,-7000
1157,-5000
1158,1000
1159,4800
1160,5400
1161,2000
1162,-2800
1163,-3000
1164,-200
1165,2800
1166,3400
1167,2000
1168,-1000
1169,-2200
1170,-2000
1171,-400
1172,400
1173,0
1174,-200
1175,-400
1176,-1200
1177,-3800
1178,-4600
1179,-3800
1180,-1600
1181,-400
1182,400
1183,800
1184,-200
1185,-400
1186,-200
1187,400
1188,-2200
1189,-4200
1190,-6600
1191,-5800
1192,1200
1193,7200
1194,8400
1195,8200
1196,9000
1197,9800
1198,9400
1199,5800
1200,-1800
1201,-9000
1202,-10800
1203,-9800
1204,-7600
1205,-5200
1206,-3400
1207,-2600
1208,-800
1209,0
1210,0
1211,0
1212,-1000
1213,-1400
1214,-2600
1215,-2400
1216,-400
1217,1000
1218,2200
1219,2800
1220,5000
1221,6400
1222,4400
1223,-200
1224,-3000
1225,200
1226,3800
1227,3800
1228,1400
1229,400
1230,1600
1231,1800
1232,1000
1233,-600
1234,-3000
1235,-4200
1236,-4600
1237,-3600
1238,-2000
1239,600
1240,1400
1241,-400
1242,-2600
1243,-3600
1244,-2600
1245,-2000
1246,-2200
1247,-2200
1248,-1400
1249,800
1250,2800
1251,3600
1252,3200
1253,2200
1254,1600
1255,1200
1256,600
1257,-200
1258,-800
1259,-200
1260,-400
1261,-2000
1262,-1600
1263,-1000
1264,400
1265,1000
1266,200
1267,-600
1268,-600
1269,400
1270,1200
1271,1400
1272,600
1273,-200
1274,600
1275,400
1276,-400
1277,-1200
1278,-1400
1279,-800
1280,-1000
1281,-1000
1282,-1400
1283,-1600
1284,-1200
1285,-800
1286,0
1287,0
1288,200
1289,400
1290,400
1291,0
1292,-600
1293,-600
1294,800
1295,2400
1296,2200
1297,600
1298,-1200
1299,-2000
1300,-2400
1301,-1600
1302,2000
1303,4600
1304,4000
1305,-400
1306,-4000
1307,-4200
1308,-400
1309,3800
1310,3000
1311,-1200
1312,-5000
1313,-6800
1314,-6600
1315,-5000
1316,-1200
1317,3400
1318,5000
1319,4800
1320,4000
1321,2800
1322,1400
1323,-200
1324,600
1325,2200
1326,2400
1327,2000
1328,1200
1329,600
1330,-400
1331,-2000
1332,-4400
1333,-6800
1334,-8400
1335,-7800
1336,-1600
1337,3400
1338,5800
1339,6800
1340,7400
1341,7600
1342,6200
1343,4400
1344,2200
1345,-3400
1346,-8400
1347,-9600
1348,-8800
1349,-7000
1350,-5000
1351,-3200
1352,-1000
1353,1400
1354,2200
1355,2000
1356,1000
1357,0
1358,-400
1359,-800
1360,-800
1361,400
1362,1200
1363,1400
1364,2000
1365,1800
1366,-1000
1367,-4200
1368,-4200
1369,400
1370,3800
1371,4000
1372,3000
1373,3400
1374,4000
1375,3400
1376,2400
1377,1600
1378,1000
1379,-200
1380,-1000
1381,-2000
1382,-2600
1383,-2600
1384,-2600
1385,-1800
1386,-2600
1387,-2600
1388,-3000
1389,-2800
1390,-2400
1391,-2200
1392,-800
1393,-400
1394,400
1395,200
1396,1000
1397,2200
1398,2800
1399,3200
1400,2400
1401,2200
1402,1000
1403,600
1404,-800
1405,-1800
1406,-2000
1407,-2200
1408,-2200
1409,-2800
1410,-2000
1411,-1200
1412,-400
1413,0
1414,400
1415,1400
1416,1200
1417,1600
1418,1200
1419,800
1420,400
1421,-400
1422,-200
1423,-200
1424,0
1425,-400
1426,200
1427,400
1428,-1400
1429,-2000
1430,-1800
1431,600
1432,1000
1433,600
1434,0
1435,-200
1436,1400
1437,1600
1438,2400
1439,1200
1440,0
1441,-1400
1442,-3400
1443,-5000
1444,-5200
1445,-2600
1446,1800
1447,4800
1448,4000
1449,0
1450,-2600
1451,-1800
1452,2600
1453,6200
1454,3800
1455,-1000
1456,-4600
1457,-5200
1458,-3400
1459,-2000
1460,-1000
1461,200
1462,1800
1463,3000
1464,2400
1465,600
1466,-600
1467,-200
1468,600
1469,1400
1470,800
1471,200
1472,-200
1473,-1800
1474,-4200
1475,-5800
1476,-6200
1477,-5800
1478,-6200
1479,-5000
1480,2600
1481,7800
1482,9400
1483,9600
1484,10200
1485,11800
1486,10800
1487,7000
1488,-2800
1489,-10000
1490,-11800
1491,-10600
1492,-8000
1493,-6000
1494,-4600
1495,-3400
1496,-2600
1497,-1400
1498,-600
1499,0
1500,-400
1501,-1400
1502,-1400
1503,600
1504,2400
